Observatorio,19.398309014067333,-99.20039998345413,Linea 1
Tacubaya,19.401950866950177,-99.1873511927383,Linea 1,Linea 7,Linea 9
Juanacatlan,19.413000202091087,-99.18200480315026,Linea 1
Chapultepec,19.42065300273763,-99.17691583676232,Linea 1
Sevilla,19.421564998484193,-99.17104586428364,Linea 1
Insurgentes,19.423651015516562,-99.16330192724968,Linea 1
Cuauhtemoc,19.425678480092436,-99.15458574957508,Linea 1
Balderas,19.427221911536478,-99.14893922690621,Linea 1,Linea 3
Salto del Agua,19.426731642404313, -99.14203655386203,Linea 1,Linea 8
Isabel la Catolica,19.426480951145184,-99.13781903921134,Linea 1
Pino Suarez,19.425941524791632,-99.13263303187243,Linea 1,Linea 2
Merced,19.425592701745664,-99.12500225969738,Linea 1
Candelaria,19.429700626976736,-99.12092639450728,Linea 1,Linea 4
San Lazaro,19.430085487972637,-99.11424908286315,Linea 1,Linea B
Moctezuma,19.42686981323587,-99.10980078969837,Linea 1
Balbuena,19.42380147759435,-99.10278445176269,Linea 1
Boulevard Puerto Aereo,19.419841085335193,-99.09631429585393,Linea 1
Gomez Farias,19.416489916611315,-99.0902120732333,Linea 1
Zaragoza,19.412026600133263,-99.08260296587876,Linea 1
Pantitlan,19.41511372868751,-99.07423931822042,Linea 1,Linea 5,Linea 9,Linea A
Cuatro Caminos,19.45963365841913,-99.21583120653787,Linea 2
Panteones,19.458664523342215,-99.20294718733044,Linea 2
Tacuba,19.459301914611252,-99.18755809338171,Linea 2,Linea 7
Cuitlahuac,19.457319178276407,-99.18149282404636,Linea 2
Popotla,19.45306197799428,-99.17550185086846,Linea 2
Colegio Militar,19.44939509087262,-99.171802043967,Linea 2
Normal,19.444705942691996,-99.16734551920204,Linea 2
San Cosme,19.441948282112367,-99.16071507619245,Linea 2
Revolucion,19.439267690441365,-99.15423139239317,Linea 2
Hidalgo,19.437597047608833,-99.14715688566538,Linea 2,Linea 3
Bellas Artes,19.43644780514164,-99.1416019644392,Linea 2,Linea 8
Allende,19.43568625059167,-99.13683836108584,Linea 2
Zocalo,19.432581559953483,-99.13225684771368,Linea 2
San Antonio Abad,19.41585793541643,-99.13459456309762,Linea 2
Chabacano,19.40918010677318,-99.13561737423237,Linea 2,Linea 8,Linea 9
Viaducto,19.400885205650813,-99.13690111040091,Linea 2
Xola,19.395230613168355,-99.1378209146237,Linea 2
Villa de Cortes,19.38762863464638,-99.13898240497002,Linea 2
Nativitas,19.379550143224886,-99.14017559252652,Linea 2
Portales,19.36985915224409,-99.1415929234293,Linea 2
Ermita,19.361149199068723,-99.14301148724746,Linea 2,Linea 12
General Anaya,19.353170098456854,-99.14502616210525,Linea 2
Tasqueña,19.343743945709903,-99.13953193703502,Linea 2
Indios Verdes,19.495032872841858,-99.1196057025515,Linea 3
Deportivo 18 de Marzo,19.48515098398299,-99.1254967456547,Linea 3,Linea 6
Potrero,19.477221605087717,-99.13201171583584,Linea 3
La Raza,19.469769196866856,-99.13651925088595,Linea 3,Linea 5
Tlatelolco,19.45518195481362,-99.14317838876535,Linea 3
Guerrero,19.44477172982114,-99.14518477793057,Linea 3,Linea B
Juarez,19.433312072329713,-99.14767865843528,Linea 3
Niños Heroes,19.41951749061607,-99.15040862317228,Linea 3
Hospital General,19.413801490602538,-99.1532495043517,Linea 3
Centro Medico,19.406630211743387,-99.15519389873123,Linea 3,Linea 9
Etiopia,19.395979715728394,-99.15606618322111,Linea 3
Eugenia,19.38623170976365,-99.15720748662797,Linea 3
Division del Norte,19.379253068975583,-99.15947114308875,Linea 3
Zapata,19.37077754095071,-99.16504968702648,Linea 3,Linea 12
Coyoacan,19.361451078826082,-99.17087113663203,Linea 3
Viveros,19.35411967741555,-99.17540874920525,Linea 3
Miguel Angel de Quevedo,19.346353148924106,-99.1807581674461,Linea 3
Copilco,19.336279137836016,-99.17707898978212,Linea 3
Universidad,19.32443447506038,-99.17391411527407,Linea 3
Martin Carrera,19.485017784309875,-99.10437972558655,Linea 4,Linea 6
Talisman,19.474435555328693,-99.10799907478355,Linea 4
Bondojito,19.464709575614236,-99.11197898168768,Linea 4
Consulado,19.45809075745049,-99.11389798147228,Linea 4,Linea 5
Canal del Norte,19.448905457567047,-99.11589208523115,Linea 4
Morelos,19.439735486027693,-99.11815358062631,Linea 4,Linea B
Fray Servando,19.42175130731204,-99.12053911775655,Linea 4
Jamaica,19.41105484328005,-99.12174346536177,Linea 4,Linea 9
Santa Anita,19.404244444134452,-99.12067020186251,Linea 4,Linea 8
Hangares,19.424412319952037,-99.08829888041626,Linea 5
Terminal Aerea,19.43414150472006,-99.08804144409177,Linea 5
Oceania,19.445097680739195,-99.08686914066018,Linea 5,Linea B
Aragon,19.451485604539,-99.09620770256723,Linea 5
Eduardo Molina,19.451612252770854,-99.10533190399934,Linea 5
Valle Gomez,19.459120830616936,-99.11949060640752,Linea 5
Misterios,19.463237942667156,-99.13039021444648,Linea 5
Autobuses del Norte,19.47901736483966,-99.14062123433855,Linea 5
Instituto del Petroleo,19.489407639811898,-99.14470302216553,Linea 5,Linea 6
Politecnico,19.500770480436906,-99.1492147245556,Linea 5
El Rosario,19.504789361844328,-99.20009556892973,Linea 6,Linea 7
Tezozomoc,19.495046477875555,-99.19616322997518,Linea 6
UAM Azcapotzalco,19.490941682539276,-99.18627769889262,Linea 6
Ferreria,19.490691179511465,-99.17415040295315,Linea 6
Norte 45,19.489158109368155,-99.16307619856454,Linea 6
Vallejo,19.490062481683733,-99.15599189631286,Linea 6
Lindavista,19.488297427478564,-99.13508322244986,Linea 6
La Villa,19.481969212282326,-99.11835342612675,Linea 6
Aquiles Serdan,19.490682753344842,-99.19528995577794,Linea 7
Camarones,19.479157436570972,-99.1897476324887,Linea 7
Refineria,19.46967583316567,-99.19009145726169,Linea 7
San Joaquin,19.445198517895957,-99.19173410686369,Linea 7
Polanco,19.433914813638946,-99.19135127494762,Linea 7
Auditorio,19.425220444251206,-99.19191769015733,Linea 7
Constituyentes,19.411858401620123,-99.19137653335201,Linea 7
San Pedro de los Pinos,19.391517126008676,-99.18583714796041,Linea 7
San Antonio,19.385042184782154,-99.18664004312336,Linea 7
Mixcoac,19.376274608657777,-99.18783235200667,Linea 7,Linea 12
Barranca del Muerto,19.36161379232282,-99.18926504021582,Linea 7
Garibaldi,19.443908348793375,-99.13863398662548,Linea 8,Linea B
San Juan de Letran,19.431681979731962,-99.14125547783038,Linea 8
Doctores,19.421618571286178,-99.14318709112229,Linea 8
